Fecha,Confirmados,Decesos
28-Feb-2020,3,0
29-Feb-2020,4,0
01-Mar-2020,5,0
02-Mar-2020,5,0
03-Mar-2020,5,0
04-Mar-2020,5,0
05-Mar-2020,5,0
06-Mar-2020,6,0
07-Mar-2020,7,0
08-Mar-2020,7,0
09-Mar-2020,7,0
10-Mar-2020,7,0
11-Mar-2020,11,0
12-Mar-2020,15,0
13-Mar-2020,26,0
14-Mar-2020,41,0
15-Mar-2020,53,0
16-Mar-2020,82,0
17-Mar-2020,93,0
18-Mar-2020,118,1
19-Mar-2020,164,1
20-Mar-2020,203,2
21-Mar-2020,251,2
22-Mar-2020,316,2
23-Mar-2020,367,4
24-Mar-2020,405,5
25-Mar-2020,475,6
26-Mar-2020,585,8
27-Mar-2020,717,12
28-Mar-2020,848,16
29-Mar-2020,993,20
30-Mar-2020,1094,28
31-Mar-2020,1215,29
01-Apr-2020,1378,37
02-Apr-2020,1510,50
03-Apr-2020,1688,60
04-Apr-2020,1890,79
05-Apr-2020,2143,94
06-Apr-2020,2439,125
07-Apr-2020,2785,141
08-Apr-2020,3181,174
09-Apr-2020,3441,194
10-Apr-2020,3844,233
11-Apr-2020,4219,273
12-Apr-2020,4661,296
13-Apr-2020,5014,332
14-Apr-2020,5399,406
15-Apr-2020,5847,449
16-Apr-2020,6297,486
17-Apr-2020,6875,546
18-Apr-2020,7497,650
19-Apr-2020,8261,686
20-Apr-2020,8772,712
21-Apr-2020,9501,857
22-Apr-2020,10544,970
23-Apr-2020,11633,1069
24-Apr-2020,12872,1221
25-Apr-2020,13842,1305
26-Apr-2020,14677,1351
27-Apr-2020,15529,1434
28-Apr-2020,16752,1569
29-Apr-2020,17799,1732
30-Apr-2020,19224,1859
01-May-2020,20739,1972
02-May-2020,22088,2061
03-May-2020,23471,2154
04-May-2020,24905,2271
05-May-2020,26025,2507
06-May-2020,27634,2704
07-May-2020,29616,2961
